id;ticket_id;start_time;end_time;status;reservation_code
1;57186;2023-06-11T02:14:41;2023-06-10T11:56:12;ACTIVE;"JP-9{10, 14}"
2;45586;2023-06-10T13:46:14;2023-06-11T02:02:24;ACTIVE;"MW-a{10, 14}"
3;98201;2023-06-10T23:03:59;2023-06-10T17:24:20;ACTIVE;"JV-5{10, 14}"
4;76583;2023-06-10T07:56:37;2023-06-10T14:52:52;CANCELLED;"CM-8{10, 14}"
5;63110;2023-06-10T18:07:59;2023-06-10T10:59:08;ACTIVE;"UF-F{10, 14}"
6;4664;2023-06-10T21:29:54;2023-06-10T15:31:00;ACTIVE;"NG-9{10, 14}"
7;67013;2023-06-10T11:00:54;2023-06-10T20:13:52;CANCELLED;"VG-E{10, 14}"
8;6406;2023-06-10T15:34:43;2023-06-10T17:24:55;EXPIRED;"CJ-A{10, 14}"
9;86659;2023-06-11T05:21:34;2023-06-11T02:23:13;PLACED;"LZ-1{10, 14}"
10;77780;2023-06-10T10:45:43;2023-06-10T11:38:35;CANCELLED;"JY-b{10, 14}"
