id;ticket_code;issued_at;entry_time;exit_time;status;parking_spot_id_id
1;"5{6, 10}";2023-06-12T14:30:58;2023-06-12T04:50:21;2023-06-12T17:19:59;ACTIVE;1
2;"0{6, 10}";2023-06-12T04:02:40;2023-06-12T02:17:15;2023-06-12T06:24:32;ACTIVE;2
3;"D{6, 10}";2023-06-12T05:54:03;2023-06-12T01:56:14;2023-06-12T21:48:07;ACTIVE;3
4;"B{6, 10}";2023-06-12T11:07:19;2023-06-11T23:45:38;2023-06-12T13:00:22;EXPIRED;4
5;"2{6, 10}";2023-06-12T22:50:38;2023-06-11T23:27:50;2023-06-12T09:01:58;EXPIRED;5
6;"9{6, 10}";2023-06-12T06:35:58;2023-06-12T05:58:03;2023-06-12T17:42:00;ACTIVE;6
7;"7{6, 10}";2023-06-12T07:35:36;2023-06-12T11:09:30;2023-06-12T07:15:06;EXPIRED;7
8;"4{6, 10}";2023-06-12T08:34:52;2023-06-12T21:54:19;2023-06-12T16:17:47;ACTIVE;8
9;"3{6, 10}";2023-06-12T19:38:32;2023-06-12T17:05:30;2023-06-12T16:31:41;EXPIRED;9
10;"A{6, 10}";2023-06-12T19:00:13;2023-06-12T05:21:15;2023-06-12T14:50:46;ACTIVE;10
